Frame Rate:,30.0292389959
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,7.771529586226852,14.363118489583334,3.8781195746527777,5.073350694444445
2,00:00:00.067,8.214491102430555,14.936604817708334,4.225830078125,5.481038411458333
3,00:00:00.100,8.163908781828704,14.306070963541666,4.410183376736111,5.775472005208333
4,00:00:00.133,9.182174117476853,15.585611979166666,5.317084418402778,6.643825954861111
5,00:00:00.167,8.786575882523147,15.687445746527779,4.538438585069445,6.133843315972222
6,00:00:00.200,6.938060619212962,12.829996744791666,3.1475965711805554,4.836588541666667
7,00:00:00.233,7.686894169560184,14.284532335069445,3.3474934895833335,5.428656684027778
8,00:00:00.266,7.8763201678240735,14.69729275173611,3.4049207899305554,5.526746961805555
9,00:00:00.300,6.621627242476851,12.89260525173611,2.5313042534722223,4.440972222222222
10,00:00:00.333,5.915464048032407,11.197319878472221,2.360134548611111,4.188937717013889
11,00:00:00.366,8.22898582175926,15.060926649305555,3.9256998697916665,5.700330946180555
12,00:00:00.400,8.397479021990742,15.013427734375,4.414469401041667,5.764539930555555
13,00:00:00.433,7.9911114728009265,14.431233723958334,4.283854166666667,5.258246527777778
14,00:00:00.466,8.431731047453704,15.57834201388889,4.266520182291667,5.450330946180555
15,00:00:00.500,7.148401331018519,13.47848849826389,3.365478515625,4.601236979166667
16,00:00:00.533,6.408447265625,12.45241970486111,2.5763617621527777,4.196560329861111
17,00:00:00.566,7.384114583333335,14.302083333333334,2.9044596354166665,4.94580078125
18,00:00:00.599,6.802200882523148,13.008843315972221,2.784206814236111,4.613552517361111
19,00:00:00.633,6.478913483796297,12.37331814236111,2.5475260416666665,4.515896267361111
20,00:00:00.666,6.697392216435186,13.167724609375,2.5280219184027777,4.396430121527778
21,00:00:00.699,6.603723596643519,12.671495225694445,2.802978515625,4.336697048611111
22,00:00:00.733,6.722746672453703,12.86789279513889,2.8362358940972223,4.464111328125
23,00:00:00.766,7.161340784143518,13.989067925347221,2.7215169270833335,4.7734375
24,00:00:00.799,5.4964825665509265,11.23825412326389,1.6656358506944444,3.5855577256944446
25,00:00:00.833,5.862666377314814,11.682183159722221,1.9692654079861112,3.936550564236111
26,00:00:00.866,6.782705801504629,13.634440104166666,2.2688530815972223,4.44482421875
27,00:00:00.899,5.643853081597222,11.64480251736111,1.7255045572916667,3.561252170138889
28,00:00:00.932,6.350070529513889,12.79733615451389,2.2543402777777777,3.99853515625
29,00:00:00.966,6.728823061342592,13.359049479166666,2.6663411458333335,4.161078559027778
30,00:00:00.999,9.234438295717592,18.383409288194443,3.477267795138889,5.842637803819445
31,00:00:01.032,6.738371672453703,12.944010416666666,2.7752278645833335,4.495876736111111
32,00:00:01.066,7.037724247685184,14.104356553819445,2.549831814236111,4.458984375
33,00:00:01.099,6.007206669560186,11.854736328125,2.1641710069444446,4.002712673611111
34,00:00:01.132,5.8946759259259265,11.538221571180555,2.1308051215277777,4.015001085069445
35,00:00:01.166,6.914867259837965,13.888047960069445,2.4937879774305554,4.362765842013889
36,00:00:01.199,6.4235658998842595,12.47165256076389,2.6285807291666665,4.170464409722222
37,00:00:01.232,7.152054398148149,14.555230034722221,2.3636881510416665,4.537245008680555
